Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,JLCPCB,LCSC Part,MANUFACTURER_PART_NUMBER,Config,MANUFACTURER_NAME,MF,MOUSER_PRICE-STOCK,MOUSER_PART_NUMBER,Price,Package,Check_prices,HEIGHT,MP,SnapEDA_Link,ARROW_PRICE-STOCK,ARROW_PART_NUMBER,Availability,MAXIMUM_PACKAGE_HEIGHT,STANDARD,PARTREV,MANUFACTURER,SNAPEDA_PN
1,"Unpolarized capacitor, small symbol",C_Small,C3 C7,100nF 50V X7R ±10%,C_0805_2012Metric,2, ,~,C49678,C49678,CC0805KRX7R9BB104,,,,,,,,,,,,,,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C5 C6,1uF 50V X7R ±10%,C_0805_2012Metric,4, ,~,C28323,C28323,CL21B105KBFNNNE,,,,,,,,,,,,,,,,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C8,4.7uF 25V X5R ±10%,C_0805_2012Metric,1, ,~,C1779,C1779,CL21A475KAQNNNE,,,,,,,,,,,,,,,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C4,10uF 25V X5R ±10%,C_0805_2012Metric,1, ,~,C15850,C15850,CL21A106KAYNNNE,,,,,,,,,,,,,,,,,,,
5,"Light emitting diode, small symbol",LED_Small,D2 D4 D6 D8,Green,LED_0805_2012Metric,4, ,~,C2297,C2297,KT-0805G,,,,,,,,,,,,,,,,,,,
6,"Light emitting diode, small symbol",LED_Small,D1 D3 D5 D9 D10,Red,LED_0805_2012Metric,5, ,~,C84256,C84256,NCD0805R1,,,,,,,,,,,,,,,,,,,
7,"TVS Diode Array, 5.5V Standoff, 3 Channels, SOT-143 package",SP0503BAHT,D7,SP0503BAHT,SOT-143,1, ,http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf,C3040626,C3040626,SP0503BAHTG,,,,,,,,,,,,,,,,,,,
8,Connector Header Surface Mount 4 position 0.039 (1.00mm),BM04B-SRSS-TB_LF__SN_,J14,BM04B-SRSS-TB_LF__SN_,BM04B-SRSS-TB_LF__SN__JST_BM04B-SRSS-TB_LF__SN_,1, ,,C160390,C160390,BM04B-SRSS-TB(LF)(SN),,,JST Sales,,,None,None,https://www.snapeda.com/parts/BM04B-SRSS-TB(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=eda,,BM04B-SRSS-TB(LF)(SN),https://www.snapeda.com/parts/BM04B-SRSS-TB(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=snap,,,In Stock,6.3 mm,Manufacturer Recommendations,N/A,JST Sales America Inc.,BM04B-SRSS-TB(LF)(SN)
9,,SKEDD-UPDI-4,J5,SKEDD-UPDI-4,SKEDD-UPDI-4,1, ,,,,,,,,,,,,,,490107670412,,,,,,,,Wuerth Elektronik,
10,USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS,TYPE-C-31-M-12,J4,TYPE-C-31-M-12,TYPE-C-31-M-12_HRO_TYPE-C-31-M-12,1, ,,C165948,C165948,TYPE-C-31-M-12,,,"HRO Electronics Co., Ltd.",,,None,Package,https://www.snapeda.com/parts/TYPE-C-31-M-12/HRO+Electronics+Co.%252C+Ltd./view-part/?ref=eda,,TYPE-C-31-M-12,https://www.snapeda.com/parts/TYPE-C-31-M-12/HRO+Electronics+Co.%252C+Ltd./view-part/?ref=snap,,,Not in stock,3.26 mm,Manufacturer Recommendations,2020.12.08,"HRO Electronics Co., Ltd.",TYPE-C-31-M-12
11,LED; SMD; 2020; RGB; 2x2x0.84mm; 3.75.3V; Lens: transparent; 2kHz LED; SMD; 2020; RGB; 2x2x0.84mm; 3.7÷5.3V; Lens: transparent; 2kHz,WS2812B-2020,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16,WS2812B-2020,WS2812B2020,16, ,,C965555,C965555,WS2812B-2020,,Worldsemi,WorldSemi,,,None,None,https://www.snapeda.com/parts/WS2812B2020/Worldsemi/view-part/?ref=eda,0.84mm,WS2812B2020,https://www.snapeda.com/parts/WS2812B2020/Worldsemi/view-part/?ref=snap,,,Not in stock,,,,,
12,"30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23",AO3400A,Q1 Q2,AO3400A,SOT-23,2, ,http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf,C20917,C20917,AO3400A,,,,,,,,,,,,,,,,,,,
13,"Resistor, small symbol",R_Small,R4 R6 R12 R13 R14 R16 R17,220,R_0805_2012Metric,7, ,~,C17557,C17557,0805W8F2200T5E,,,,,,,,,,,,,,,,,,,
14,"Resistor, small symbol",R_Small,R3 R5 R7 R8,560,R_0805_2012Metric,4, ,~,C28636,C28636,0805W8F5600T5E,,,,,,,,,,,,,,,,,,,
15,"Resistor, small symbol",R_Small,R9,1k,R_0805_2012Metric,1, ,~,C17513,C17513,0805W8F1001T5E,,,,,,,,,,,,,,,,,,,
16,"Resistor, small symbol",R_Small,R10 R11 R15,4.7k,R_0805_2012Metric,3, ,~,C17673,C17673,0805W8F4701T5E,,,,,,,,,,,,,,,,,,,
17,"Resistor, small symbol",R_Small,R1 R2,5.1k,R_0805_2012Metric,2, ,~,C27834,C27834,C27834,,,,,,,,,,,,,,,,,,,
18,,K3-2235S-K1,SW1 SW2,K3-2235S-K1,easyeda2kicad_SW-SMD_K3-2235S-K1,2, ,https://lcsc.com/product-detail/Toggle-Switches_Korean-Hroparts-Elec-K3-2235S-K1_C145845.html,C145845,C145845,K3-2235S-K1,,,,,,,,,,,,,,,,,,,
19,"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5",AP2112K-3.3,U2,AP2112K-3.3,SOT-23-5,1, ,https://www.diodes.com/assets/Datasheets/AP2112.pdf,C3021085,C3021085,TPAP2112K-3.3TRG1,,,,,,,,,,,,,,,,,,,
20,"20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, VQFN-20",ATtiny1616-M,U4,ATtiny1616-M,ATTINY1616-MFR_QFN40P300X300X90-21N,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf,C507118,C507118,ATTINY1616-MNR,-SOIC,,,,,,,,,,,,,,,,,,
21,CP2105 Dual USB 2.0 to UART (RS485) Bridge Interface Evaluation Board,CP2105,U3,CP2105,CP2105_QFN24_0.5,1, ,,C109102,C109102,CP2105-F01-GMR,,,Silicon Labs,,,None,WFQFN-24 Silicon Labs,https://www.snapeda.com/parts/CP2105/Silicon+Labs/view-part/?ref=eda,,CP2105,https://www.snapeda.com/parts/CP2105/Silicon+Labs/view-part/?ref=snap,,,Not in stock,,,,,





Project info:
Schematic:,design
Variant:,default
Revision:,<<version>>
Date:,<<date>>
KiCad Version:,6.0.11+dfsg-1
Statistics:
Component Groups:,25
Component Count:,73
Fitted Components:,61
Number of PCBs:,1
Total Components:,61
